Orden,Libro,Capítulo,Título del capítulo,Autor citado,Forma normalizada,Obra asociada,Pasaje / contexto,Función de la cita,Tipo de fuente,Observaciones
31,I,XII,De diversas gentes que vinieron a España,Solino,Solino,,Estrabón y Solino sobre Ulises en España.,"Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
32,I,XIII,"De las cosas de Abides, y de la sequedad general de España",Justino,Justino,,Justino,Autoridad historiográfica de apoyo,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
33,I,XV,De la venida de los de Fenicia a España,Aristóteles,Aristóteles,,"Aristóteles. Griego. Sobre la llegada de los fenicios a Tarteso, identificado por Mariana como Tarifa.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
34,I,XV,De la venida de los de Fenicia a España,Justino,Justino,,"Justino, libro XVIII. Sobre los fenicios en España y norte de África.",Autoridad historiográfica de apoyo,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
35,I,XV,De la venida de los de Fenicia a España,Platón,Platón,,"Platón. Timeo. Sobre los atlántides, que parten de Eritrea y toman Atenas. Intento conectar a los fenicios con un pasado mítico.",Autoridad historiográfica de apoyo,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
36,I,XV,De la venida de los de Fenicia a España,Herodoto,Herodoto,,"Herodoto. Sobre la guerra entre Asirios (Senacherib) y Egipcios-Etíopes Tarachon → Tirhaka (Taharko), un faraón de la XXV Dinastía de Egipto, de origen nubio o kushita. Tras ganar la guerra, Tarachon pasó a otros reinos, España entre ellos. Al menos a Europa → Estrabón.",Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
37,I,XV,De la venida de los de Fenicia a España,Plinio,Plinio el Viejo,,"Plinio y Solino, atribuyen la creación de Tarragona a los Scipiones. Si bien Mariana la considera creación del rey Tarachon.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
38,I,XV,De la venida de los de Fenicia a España,Solino,Solino,,"Plinio y Solino, atribuyen la creación de Tarragona a los Scipiones. Si bien Mariana la considera creación del rey Tarachon.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
39,I,XVI,"Cómo los Cartagineses tomaron Ibiza, y acometieron a los mallorquines",Antonino,Anónimo del Itinerarium Antonini,,Antonino. Obra: Itinerarium Antonini Augusti. Autor desconocido.,Autoridad cronológica,Tardorromana / itinerario,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
40,I,XVI,"Cómo los Cartagineses tomaron Ibiza, y acometieron a los mallorquines",Florian,Lucio Anneo Floro,,"Florian→ Lucio Anneo Floro (Lucius Annaeus Florus). S. I-II. Epitome de Tito Livio bellorum omnium annorum DCC (Epítome de la historia de Tito Livio sobre todas las guerras de setecientos años). También conocida simplemente como Epítome. Incorpora la obra de Antonino, referente a la geografía. Mientras que él habla de las guerras.",Autoridad geográfica/toponímica,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
41,I,XVI,"Cómo los Cartagineses tomaron Ibiza, y acometieron a los mallorquines",Tito Livio,Tito Livio,,"Florian→ Lucio Anneo Floro (Lucius Annaeus Florus). S. I-II. Epitome de Tito Livio bellorum omnium annorum DCC (Epítome de la historia de Tito Livio sobre todas las guerras de setecientos años). También conocida simplemente como Epítome. Incorpora la obra de Antonino, referente a la geografía. Mientras que él habla de las guerras.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
42,I,XVI,"Cómo los Cartagineses tomaron Ibiza, y acometieron a los mallorquines",Filón de Biblos,Filón de Biblos,,"Filón de Biblos (Philo Byblius), s. I-II, Romano. Phoinikē Hiera historia (Historia Sagrada de Fenicia). Sobre la historia de los de Fenicia.",Autoridad cronológica,Clásica / fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
43,I,XVII,De la edad de Argantonio,Cayo Silio Itálico,Silio Itálico,,"Cayo Silio Itálico (Caius Silius Italicus), s. I-II. Romano. Sobre Tartessos y su rey, Argantonio. De él dice, vivió 300 años. Plinio, por testimonio de Anacreonte, 150.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana / poesía épica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
44,I,XVII,De la edad de Argantonio,Plinio,Plinio el Viejo,,"Cayo Silio Itálico (Caius Silius Italicus), s. I-II. Romano. Sobre Tartessos y su rey, Argantonio. De él dice, vivió 300 años. Plinio, por testimonio de Anacreonte, 150.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
45,I,XVII,De la edad de Argantonio,Tito Flavio Josefo,Flavio Josefo,,"Tito Flavio Josefo (Titus Flavius Iosephus), s. I. Nace en Jerusalén, muere en Roma. Ioudaikē Archaiología (Antigüedades Judías). Nabucodonosor se apoderó de España, en su guerra contra los fenicios. Hecho célebre en las obras de los Hebreos.",Autoridad narrativa bélica,Judeo-romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
46,I,XVIII,Cómo los fenicios trataron de apoderarse de España,Tito Livio,Tito Livio,,"Tito Livio y Polibio, sobre Turdulos y Turdetanos (consideran que son el mismo pueblo).",Autoridad cronológica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
47,I,XVIII,Cómo los fenicios trataron de apoderarse de España,Polibio,Polibio,,"Tito Livio y Polibio, sobre Turdulos y Turdetanos (consideran que son el mismo pueblo).",Autoridad cronológica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
48,I,XX,Cómo Saphón vino en España,Silio Itálico,Silio Itálico,,"Silio Itálico (Tiberius Catius Asconius Silius Italicus). Romano, s. I-II. Punica: El único poema épico latino conservado en su totalidad, compuesto por 17 libros. Narra la Segunda Guerra Púnica (218-201 a.C.), centrándose en el conflicto entre Roma y Cartago, con especial atención a figuras como Aníbal y Escipión.",Autoridad narrativa bélica,Clásica romana / poesía épica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
49,I,XX,Cómo Saphón vino en España,Festo Pompeyo,Festo Pompeyo,,"Festo Pompeyo (Sextus Pompeius Festus), s. II. Romano. Fuente indirecta para el conocimiento de las cosas antiguas romanas.",Autoridad historiográfica de apoyo,Clásica romana / anticuaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
50,I,XX,Cómo Saphón vino en España,Plinio,Plinio el Viejo,,Plinio. Todos ellos para la historia de los cartagineses.,Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
51,I,XXI,Cómo Himilcón y Hannon descubrieron nuevas navegaciones,Rufo Festo,Sexto Rufo / Rufo Festo,,"Rufo Festo. Historiador y alto funcionario romano. S. IV. Escribe su Breviario, epítome o resumen de la historia de Roma. Para la geografía de España → habla del Guadalquivir.",Autoridad geográfica/toponímica,Tardorromana / compendio,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
52,I,XXI,Cómo Himilcón y Hannon descubrieron nuevas navegaciones,Tito Libio,Tito Livio,,"Tito Libio, sobre la ciudad de Iberia (a la que hace mención).",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
53,I,XXII,De la navegación de Hannón,Lucio Flavio Arriano,Arriano,,"Lucio Flavio Arriano (Lucius Flavius Arrianus). A menudo conocido como Arriano de Nicomedia, s. I-II. Historiador, filósofo estoico (discípulo de Epicteto) y alto funcionario romano de origen griego del siglo II d.C. Junto a Polibio, Rufo Festo, Plinio, Ptolomeo. Para cuestiones geográficas referentes al viaje de Hannon, desde P. Ibérica hasta África.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
54,II,II,De las cosas por los españoles hechas en Sicilia,Tucídides,Tucídides,,"Tucídides, Tito Livio y Dionisio de Halicarnaso, s. I a.C. - s. I d.C., griego. Hablan de una peste ocurrida en el 327, año de la fundación de Roma. Osea, s.V a.C.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
55,II,II,De las cosas por los españoles hechas en Sicilia,Tito Livio,Tito Livio,,"Tucídides, Tito Livio y Dionisio de Halicarnaso, s. I a.C. - s. I d.C., griego. Hablan de una peste ocurrida en el 327, año de la fundación de Roma. Osea, s.V a.C.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
56,II,II,De las cosas por los españoles hechas en Sicilia,Dionisio de Halicarnaso,Dionisio de Halicarnaso,,"Tucídides, Tito Livio y Dionisio de Halicarnaso, s. I a.C. - s. I d.C., griego. Hablan de una peste ocurrida en el 327, año de la fundación de Roma. Osea, s.V a.C.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
57,II,II,De las cosas por los españoles hechas en Sicilia,Hipócrates,Hipócrates de Cos,,"Hipócrates de Cos, s. V-IV a.C. Griego. Corpus Hippocraticum (Colección Hipocrática). Considerado el padre de la medicina en la tradición ocidental. Sobre la peste del siglo V a.C.",Autoridad cronológica,Clásica griega / médica,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
58,II,V,"De una embajada que se envió a Alejandro, rey de Macedonia",Paulo Orosio,Paulo Orosio,,"Paulo Orosio, s. IV-V. Hispano. Sobre una embajada enviada desde España a Alejandro Magno.",Autoridad historiográfica de apoyo,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
59,II,V,"De una embajada que se envió a Alejandro, rey de Macedonia",Arriano,Arriano,,"Arriano, sobre lo mismo.",Autoridad historiográfica de apoyo,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
60,II,V,"De una embajada que se envió a Alejandro, rey de Macedonia",Justino,Justino,,Justino. Sobre la guerra entre cartagineses y siracusanos.,Autoridad narrativa bélica,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
61,II,VI,De la primera guerra Púnica contra Cartago,Polybio,Polibio,,Polybio. Cómo los cartagineses reunieron el ejército que lucharía contra los romanos en la primera guerra Púnica.,Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
62,II,VI,De la primera guerra Púnica contra Cartago,Eusebio de Cesarea,Eusebio de Cesarea,,"Eusebio de Cesarea, s. III-IV. Sobre la derrota naval del general romano Cecilio Metello.",Autoridad cronológica,Cristiana tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
63,II,VI,De la primera guerra Púnica contra Cartago,Plinio,Plinio el Viejo,,"Plinio. Sobre el nacimiento de Aníbal, hijo de Amílcar, en la isla de Tiquadra, cercana a Mallorca.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
64,II,VII,Cómo Amílcar vino otra vez a España,Estrabón,Estrabón,,Estrabón. Sobre la riqueza de la Bética (de la que Amílcar se apoderó).,Autoridad historiográfica de apoyo,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
65,II,VII,Cómo Amílcar vino otra vez a España,Ptolomeo,Ptolomeo,,Ptolomeo. Sobre la ubicación de Cartago la vieja.,Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
66,II,VII,Cómo Amílcar vino otra vez a España,Tito Livio,Tito Livio,,"Tito Livio. Sobre la muerte de Amílcar por los Edetanos, en una batalla que dicho autor sitúa cercana a un pueblo llamado Castro Alto.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
67,II,IX,De la guerra Saguntina,Polybio,Polibio,,Polybio. Marcha de los cartagineses sobre Sagunto.,Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
