Orden,Libro,Capítulo,Título del capítulo,Autor citado,Forma normalizada,Obra asociada,Pasaje / contexto,Función de la cita,Tipo de fuente,Observaciones,Validación 1617,Coincidencia OCR 1617,Cita literal 1617 (OCR),Línea OCR cita 1617,Rango OCR 1617,Notas validación 1617
11,I,VII,De los reyes fabulosos (inventados) de España,Plinio,Plinio el Viejo,Naturalis Historia,"Nueva mención a Plinio y Apiano. Sobre los distintos pueblos en España, y nombres de reyes. San Isidoro, Etimologías. Estrabón.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,plinio,"edificios nueuos y grandes.di eróle otra / lí nombre y priuilegios de colonia Ro- / ^ niana.Pues es cierto qPlinio lallamaCa. / lonia Romulcnfe.Mas dezir que cnton-> / ces fe fundó la primera vez , c;u'ccc dp",5781,líneas 5097-6147,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
12,I,VII,De los reyes fabulosos (inventados) de España,Apiano,Apiano de Alejandría,"Historia romana, Iberiké","Nueva mención a Plinio y Apiano. Sobre los distintos pueblos en España, y nombres de reyes. San Isidoro, Etimologías. Estrabón.",Autoridad geográfica/toponímica,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 5097-6147,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
13,I,VII,De los reyes fabulosos (inventados) de España,San Isidoro,Isidoro de Sevilla,Etymologiae / obras históricas,"Nueva mención a Plinio y Apiano. Sobre los distintos pueblos en España, y nombres de reyes. San Isidoro, Etimologías. Estrabón.",Autoridad geográfica/toponímica,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,isidoro,"difeurfo de ti cmpo,dcl nombre deSc^ / uilla,ó Hifpalis,fe llamó todaJaproiiio / cia Hifpania.San Ifidoro atribuye la fuo / dación delta ciudad a Julio Celar,cn el / tiempo es a fabcr,que gouerno a Efpar",5767,líneas 5097-6147,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
14,I,VII,De los reyes fabulosos (inventados) de España,Estrabón,Estrabón,Geographica,"Nueva mención a Plinio y Apiano. Sobre los distintos pueblos en España, y nombres de reyes. San Isidoro, Etimologías. Estrabón.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,estrabon,"riquezas que tiene , celebrada grande- / mente de loy)oetas,en tanto grado,que / -i (como dizeEftrabon)ponian en ella los / í campos Elyfíos , morada de los biena- / , uenturados.El qual tcílifica otrofi , que",5360,líneas 5097-6147,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
15,I,VII,De los reyes fabulosos (inventados) de España,Apiano,Apiano de Alejandría,"Historia romana, Iberiké","Apiano de Alejandría (s. I-II). Ῥωμαϊκά (Romaika / Historia romana). Esta obra constituye una historia del Imperio romano organizada por pueblos o regiones conquistadas, no por orden cronológico estricto. Entre sus secciones destacan: Iberiké (Historia de Iberia), Hannibalica, Mithridatica, Bellum civile (Historia de las guerras civiles romanas). Para la historia antigua de la Península Ibérica resulta especialmente relevante el libro Iberiké, dedicado a las campañas romanas en Hispania.",Autoridad geográfica/toponímica,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 5097-6147,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
16,I,VIII,De los Geriones,Diodoro de Sicilia,Diodoro Sículo,Bibliotheca historica,"Diodoro de Sicilia (Diodorus Siculus), s. I a.C., para el periodo antiguo y mítico de España. Romano. Obra más relevante, Bibliotheca Historica. Βιβλιοθήκη Ἱστορική (Bibliotheca historica). Se trata de una vasta historia universal compuesta originalmente por 40 libros, que abarcaba desde los tiempos míticos hasta la época de Julio César.Para la historia antigua de la Península Ibérica son particularmente relevantes los pasajes contenidos en Libro V, donde se describe el Occidente mediterráneo.",Autoridad bibliográfica o de transmisión textual,Clásica griega / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,diodoro,"tanto que Ofiris-al qual los Egypcios ti7 / bien ponen por el primero defusReyes, / como lo fíente Diodoro Siculo,y por / otros nombres le llamaron Baccho j y / Dionyfio,no el hijo de Semelc , criado",5449,líneas 5097-6147,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
17,I,VIII,De los Geriones,Suetonio,Suetonio Tranquilo,De vita Caesarum,"Cayo Suetonio Tranquilo (Gaius Suetonius Tranquillus), s. I-II. Romano, para el periodo mítico y antiguo de España. La obra más influyente es De vita Caesarum, compuesta por doce biografías de los emperadores romanos, desde Julio César hasta Domiciano. Sin embargo, en lo relativo a la historia específica de Hispania, Suetonio desempeña un papel menos central que autores como Estrabón, Plinio, Apiano y Floro, ya que su obra se centra principalmente en la biografía imperial. No sé qué obra está utilizando, cuidado.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,Confirmado en 1617,suetonio,"nian coftumbre por dcuocion de yr a / vifitar muchas vezes, como lo teftifica / Suetonio T ranquilo. llcftituy da pues,y / fundada la paz defta nianera,por benefi / cío de Ofiris, y quitada la tyrania, el ven",5509,líneas 5097-6147,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
18,I,IX,"Del rey Hispalo, y de la muerte de Hércules",Marco Juniano Justino,Justino,Epitoma historiarum Philippicarum,"Marco Juniano Justino (Marcus Junianus Justinus), entre s. II-III. Romano. Epitoma historiarum Philippicarum Pompei Trogi (Epítome de las Historias Filípicas de Pompeyo Trogo). Para el periodo mítico y antiguo de España. Esta obra constituye un resumen o compendio de la historia universal escrita por Pompeyo Trogo (Historiae Philippicae), historiador galo-romano del siglo I a. C. cuya obra original se ha perdido. Marco Juniano Justino pertenece a la tradición literaria de las epítomes históricas, muy frecuente en la Antigüedad tardía. Este género consistía en resumir obras extensas de historiadores clásicos con fines didácticos o retóricos.",Autoridad cronológica,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 5097-6147,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
19,I,IX,"Del rey Hispalo, y de la muerte de Hércules",San Isidoro,Isidoro de Sevilla,Etymologiae / obras históricas,"Vuelve a mencionar a San Isidoro, para la fundación Hispalis (Sevilla).","Autoridad sobre orígenes, genealogía o materia mítica",Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,isidoro,"difeurfo de ti cmpo,dcl nombre deSc^ / uilla,ó Hifpalis,fe llamó todaJaproiiio / cia Hifpania.San Ifidoro atribuye la fuo / dación delta ciudad a Julio Celar,cn el / tiempo es a fabcr,que gouerno a Efpar",5767,líneas 5097-6147,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
20,I,IX,"Del rey Hispalo, y de la muerte de Hércules",falso Beroso,Pseudo-Beroso / Annio de Viterbo,Antiquitatum variarum volumina XVII,Vuelve a desechar las fábulas del falso Beroso.,Fuente problemática o usada críticamente,Falsificación humanista,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Caso crítico/problemático.,Confirmado en 1617,beroso,"fu .den'uacion,fe atribuye a entrambos, / y los q pone el vno,níngunamenció ha- / 2c del otrorfucra de folo Berofo , cuyas / Tabulas poco antes dcfcchamos, no íolb / como tales, fino tibien como mal forja-",5814,líneas 5097-6147,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
21,I,X,De Hespero y Atlas reyes de España,Quinto Fabio Píctor,Quinto Fabio Píctor,Annales / obra perdida,"Quinto Fabio Píctor (Quintus Fabius Pictor), s. III a.C. Romano. Empleado por historiadores para conectar la creación de Roma con los españoles→ Va a ser desacreditado por Mariana. Annales o Rerum gestarum libri. (Obra completamente perdida; solo se conservan fragmentos y referencias en autores posteriores). Se trata de una historia de Roma desde sus orígenes hasta la Segunda Guerra Púnica, escrita originalmente en lengua griega. La obra no se conserva directamente; su contenido se conoce únicamente a través de citas y referencias de autores posteriores, entre ellos: Polibio, Dionisio de Halicarnaso, Tito Livio, Plutarco.",Autoridad narrativa bélica,Clásica romana / obra perdida,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Caso crítico/problemático.,No localizado automáticamente en 1617,,,,líneas 5097-6147,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
22,I,X,De Hespero y Atlas reyes de España,Quinto Valerio Sorano,Quinto Valerio Sorano,No determinada,"Quinto Valerio Sorano (Quintus Valerius Soranus), s. II-I a.C. Ejecutado por difundir secretos (para Mariana, ejecutado por difundir el verdadero nombre de la ciudad de Roma). No lo cita como fuente directa. Luego, quizás no tiene interés para el TFG.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,Confirmado en 1617,valerio sorano,"tos de la religión y ceremonias, no per- ^ / mitian fe diuuígafle entre todos: y aun / fe labe que Valerio Sorano por quebrá- / tar cftc lccreto,pagó aquel defacato c6 / la vida. Verdad esque no fe tiene noticia",6064,líneas 5097-6147,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
23,I,XI,De Sículo rey de España,Filisto,Filisto de Siracusa,Historias sicilianas,"Filisto de Siracusa (Philistus Syracusanus), s. V-IV a.C. Historiador y militar griego. Historias Sicilianas (Obra completamente perdida, compuesta de 13 libros; solo se conservan fragmentos y referencias en otros autores). Para el periodo mítico y antiguo de España → vínculo entre españoles y Sicilia.",Autoridad cronológica,Griega / obra perdida,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 6118-6742,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
24,I,XI,De Sículo rey de España,Solino,Solino,Collectanea rerum memorabilium,"Solino, atribuye Valencia como antiguo nombre de Roma.",Autoridad historiográfica de apoyo,Clásica romana / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,solino,"ma dizen también tiiuo aquella ciudad / antiguamcte,a la manera que la ciudad / de Roma,fegun que lo dize Solino , le / llihió antiguamente Valencia, y Euan- / dro le mudó el nombre y apellido en el",6291,líneas 6118-6742,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
25,I,XI,De Sículo rey de España,Justino,Justino,Epitoma historiarum Philippicarum,"Justino, para reyes antiguos y mitológicos de España.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 6118-6742,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
26,I,XII,De diversas gentes que vinieron a España,Diodoro Siculo,Diodoro Sículo,Bibliotheca historica,Diodoro Siculo. Reyes antiguos y/o mitológicos.,"Autoridad sobre orígenes, genealogía o materia mítica",Clásica griega / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,diodoro,"El fobrenombre de Veneria q timo Nc- / brixa,los tiempos adelante lele dieron. / Diodoro Sieulo eferiue, q antiguaméte / ouo tres Dionifios o Bacchos. El primc~^ / ro fue hijo de Dcucalion, q es lo mifmo ?",6433,líneas 6118-6742,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
27,I,XII,De diversas gentes que vinieron a España,Justino,Justino,Epitoma historiarum Philippicarum,"Justino y San Isidoro, sobre la venida de Teucro (rey mitológico) a España.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 6118-6742,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
28,I,XII,De diversas gentes que vinieron a España,San Isidoro,Isidoro de Sevilla,Etymologiae / obras históricas,"Justino y San Isidoro, sobre la venida de Teucro (rey mitológico) a España.","Autoridad sobre orígenes, genealogía o materia mítica",Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,isidoro,"tagcna,dizen edificó otra ciudad que de / fu nombre llamó Teuci ¡a. No ay duda / 0no que luflino y fan Ifidoro,hazcn me £) / cion defta venida de Tcucro a Efpaña:/ / aun luftino en particular dizc,que fe a-",6637,líneas 6118-6742,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
29,I,XII,De diversas gentes que vinieron a España,Estrabón,Estrabón,Geographica,"Estrabón, libro III, sobre la llegada de Mnesteo Atheniense a Cádiz.",Autoridad historiográfica de apoyo,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,estrabon,"momento para acrecentar en Efpaña la / fuperlticion de los Griegos. Por concia / fion Eftrabon y Solino tcftifican,q VlyP~J / fes entre los demas vino a Efpaña,/ que s / en la Lufitania o Portugal, fundó la ciu- '",6685,líneas 6118-6742,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
30,I,XII,De diversas gentes que vinieron a España,Estrabón,Estrabón,Geographica,Estrabón y Solino sobre Ulises en España.,"Autoridad sobre orígenes, genealogía o materia mítica",Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,estrabon,"momento para acrecentar en Efpaña la / fuperlticion de los Griegos. Por concia / fion Eftrabon y Solino tcftifican,q VlyP~J / fes entre los demas vino a Efpaña,/ que s / en la Lufitania o Portugal, fundó la ciu- '",6685,líneas 6118-6742,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
31,I,XII,De diversas gentes que vinieron a España,Solino,Solino,Collectanea rerum memorabilium,Estrabón y Solino sobre Ulises en España.,"Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,solino,"ma dizen también tiiuo aquella ciudad / antiguamcte,a la manera que la ciudad / de Roma,fegun que lo dize Solino , le / llihió antiguamente Valencia, y Euan- / dro le mudó el nombre y apellido en el",6291,líneas 6118-6742,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
32,I,XIII,"De las cosas de Abides, y de la sequedad general de España",Justino,Justino,Epitoma historiarum Philippicarum,Justino,Autoridad historiográfica de apoyo,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 6713-7004,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
33,I,XV,De la venida de los de Fenicia a España,Aristóteles,Aristóteles,No determinada,"Aristóteles. Griego. Sobre la llegada de los fenicios a Tarteso, identificado por Mariana como Tarifa.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 7188-7467,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
34,I,XV,De la venida de los de Fenicia a España,Justino,Justino,Epitoma historiarum Philippicarum,"Justino, libro XVIII. Sobre los fenicios en España y norte de África.",Autoridad historiográfica de apoyo,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 7188-7467,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
35,I,XV,De la venida de los de Fenicia a España,Platón,Platón,Timeo,"Platón. Timeo. Sobre los atlántides, que parten de Eritrea y toman Atenas. Intento conectar a los fenicios con un pasado mítico.",Autoridad historiográfica de apoyo,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,platon,"tratación de Efpaña,comenparon clara- / mente a pretender cnfcñorcarfe de to- / da clla.Platon en elTimeo dízc,quelos / Atlantides,entre los quales fe puede có",7370,líneas 7188-7467,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
36,I,XV,De la venida de los de Fenicia a España,Herodoto,Herodoto,Historias,"Herodoto. Sobre la guerra entre Asirios (Senacherib) y Egipcios-Etíopes Tarachon → Tirhaka (Taharko), un faraón de la XXV Dinastía de Egipto, de origen nubio o kushita. Tras ganar la guerra, Tarachon pasó a otros reinos, España entre ellos. Al menos a Europa → Estrabón.",Autoridad narrativa bélica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,herodoto,"tOjle falio al cncucntro,y eh'vnafamofa' / batalla que le diojle desbaratay pufo en / huyda.Herodoto dixojque lacaufadcP / te defman fueron los ratones, que en a- / quel cerco le royeron todos los inftru-'",7422,líneas 7188-7467,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
